"1508","B02BC09","EPINEPHRINE",""
"1530","S01FA04","CYCLOPENTOLATE",""
"1553","A06AB02","BISACODYL",""
"1555","A06AB02","BISACODYL",""
"1619","H02BX01","METHYLPREDNISOLONE, COMBINATIONS",""
"1620","J01FF01","CLINDAMYCIN",""
"1628","B05BB01","ELECTROLYTES",""
"1649","A09AA02","MULTIENZYMES (LIPASE, PROTEASE ETC)",""
"1667","D05AA","TARS",""
"1667","D05AA","TARS",""
"1668","D08AE04","TRICLOSAN",""
"1673","B05BB02","ELECTROLYTES WITH CARBOHYDRATES",""
"1673","B05BB02","ELECTROLYTES WITH CARBOHYDRATES",""
"1734","V07AB","SOLVENTS AND DILUTING AGENTS, INCL IRRIGAT SOLUT",""
"1736","B05XA03","SODIUM CHLORIDE",""
"1738","B05BB01","ELECTROLYTES",""
"1740","B05BC01","MANNITOL",""
"1743","B05AA55","DEXTRAN,COMBINATIONS",""
"1744","B05AA55","DEXTRAN,COMBINATIONS",""
"1745","B05BB01","ELECTROLYTES",""
"1746","B05BA03","CARBOHYDRATES",""
"1747","B05BB02","ELECTROLYTES WITH CARBOHYDRATES",""
"1747","B05BB02","ELECTROLYTES WITH CARBOHYDRATES",""
"1750","B05BB02","ELECTROLYTES WITH CARBOHYDRATES",""
"1750","B05BB02","ELECTROLYTES WITH CARBOHYDRATES",""
"1802","H02AB10","CORTISONE",""
"1812","L01BB03","TIOGUANINE",""
"1830","N01BB52","LIDOCAINE, COMBINATIONS",""
"1889","A03AX13","SILICONES",""
"1905","B05XA02","SODIUM BICARBONATE",""
"1911","V07AB","SOLVENTS AND DILUTING AGENTS, INCL IRRIGAT SOLUT",""
"1912","V07AB","SOLVENTS AND DILUTING AGENTS, INCL IRRIGAT SOLUT",""
"1913","V01AA20","VARIOUS",""
"1914","V01AA20","VARIOUS",""
"1931","M04AC01","COLCHICINE",""
"1937","S01BA04","PREDNISOLONE",""
"1954","H01AA02","TETRACOSACTIDE",""
"1954","H01AA02","TETRACOSACTIDE",""
"2039","N06AA04","CLOMIPRAMINE",""
"2049","N06AA12","DOXEPIN",""
"2071","D07AC01","BETAMETHASONE",""
"2087","V04CF01","TUBERCULIN",""
"2093","J01XE01","NITROFURANTOIN",""
"2094","J01XE01","NITROFURANTOIN",""
"2133","A06AB56","SENNA GLYCOSIDES, COMBINATIONS",""
"2138","L01BC02","FLUOROURACIL",""
"2145","C03DA01","SPIRONOLACTONE",""
"2146","D06BA01","SILVER SULFADIAZINE",""
"2148","R05CA10","COMBINATIONS",""
"2150","R05CA10","COMBINATIONS",""
"2153","L01AD01","CARMUSTINE",""
"2164","N06AA04","CLOMIPRAMINE",""
"2175","V04CX","OTHER DIAGNOSTIC AGENTS",""
"2196","V07AV","TECHNICAL DISINFECTANTS",""
"2211","N06AA02","IMIPRAMINE",""
"2212","N06AA02","IMIPRAMINE",""
"2214","N06AA09","AMITRIPTYLINE",""
"2215","N06AA09","AMITRIPTYLINE",""
"2219","H02AB09","HYDROCORTISONE",""
"2220","H02AB09","HYDROCORTISONE",""
"2221","H02AB09","HYDROCORTISONE",""
"2222","H02AB09","HYDROCORTISONE",""
"2233","J01CF02","CLOXACILLIN",""
"2234","J01CF02","CLOXACILLIN",""
"2272","D07AC01","BETAMETHASONE",""
"2317","D05AA","TARS",""
"2333","C03CA01","FUROSEMIDE",""
"2365","N05AB03","PERPHENAZINE",""
"2366","N05AB03","PERPHENAZINE",""
"2367","N05AB03","PERPHENAZINE",""
"2368","N05AB03","PERPHENAZINE",""
"2375","S01EB01","PILOCARPINE",""
"2390","A03BA01","ATROPINE",""
"2423","S01CA01","DEXAMETHASONE AND ANTIINFECTIVES",""
"2423","S01CA01","DEXAMETHASONE AND ANTIINFECTIVES",""
"2426","N06AA09","AMITRIPTYLINE",""
"2427","N06AA09","AMITRIPTYLINE",""
"2444","N06AA02","IMIPRAMINE",""
"2447","C03CA01","FUROSEMIDE",""
"2467","C03BA04","CHLORTALIDONE",""
"2470","C02AB02","METHYLDOPA (RACEMIC)",""
"2471","C02AB02","METHYLDOPA (RACEMIC)",""
"2472","C03CA01","FUROSEMIDE",""
"2481","A03BB01","BUTYLSCOPOLAMINE",""
"2483","A03BB01","BUTYLSCOPOLAMINE",""
"2506","N01BB52","LIDOCAINE, COMBINATIONS",""
"2527","B05XA01","POTASSIUM CHLORIDE",""
"2530","L01AD02","LOMUSTINE",""
"2531","L01AD02","LOMUSTINE",""
"2541","N01BB52","LIDOCAINE, COMBINATIONS",""
"2568","N03AE01","CLONAZEPAM",""
"2569","N03AE01","CLONAZEPAM",""
"2570","V08AD01","ETHYL ESTERS OF IODISED FATTY ACIDS",""
"2620","S01BA01","DEXAMETHASONE",""
"2657","N05BA01","DIAZEPAM",""
"2684","G02AD02","DINOPROSTONE",""
"2723","N04BA02","LEVODOPA AND DECARBOXYLASE INHIBITOR",""
"2724","N04BA02","LEVODOPA AND DECARBOXYLASE INHIBITOR",""
"2743","N01BB03","MEPIVACAINE",""
"2750","N03AA03","PRIMIDONE",""
"2751","N03AA03","PRIMIDONE",""
"2780","N06AA12","DOXEPIN",""
"2787","R05CA10","COMBINATIONS",""
"2789","J01BA01","CHLORAMPHENICOL",""
"2798","C03CA01","FUROSEMIDE",""
"2828","N01BB54","PRILOCAINE, COMBINATIONS",""
"2851","C03CA01","FUROSEMIDE",""
"2858","N05AB02","FLUPHENAZINE",""
"2860","N05AB02","FLUPHENAZINE",""
"2861","N05AB02","FLUPHENAZINE",""
"2863","J04AB02","RIFAMPICIN",""
"2866","J04AB02","RIFAMPICIN",""
"2870","D07AC01","BETAMETHASONE",""
"2890","R06AA11","DIMENHYDRINATE",""
"2891","R06AA11","DIMENHYDRINATE",""
"2901","V07AV","TECHNICAL DISINFECTANTS",""
"2902","B05BA03","CARBOHYDRATES",""
"2909","C02AB02","METHYLDOPA (RACEMIC)",""
"2935","N01BB02","LIDOCAINE",""
"2954","V07AV","TECHNICAL DISINFECTANTS",""
"2964","J07BL01","YELLOW FEVER, LIVE ATTENUATED",""
"2982","R05DA04","CODEINE",""
"3002","B03BB01","FOLIC ACID",""
"3015","V07AV","TECHNICAL DISINFECTANTS",""
"3026","V07AV","TECHNICAL DISINFECTANTS",""
"3042","N02AA01","MORPHINE",""
"3043","N02AA01","MORPHINE",""
"3076","H02AB07","PREDNISONE",""
"3088","B05XA05","MAGNESIUM SULPHATE",""
"3088","B05XA05","MAGNESIUM SULPHATE",""
"3089","C07AA03","PINDOLOL",""
"3091","C07AA03","PINDOLOL",""
"3132","B05BB02","ELECTROLYTES WITH CARBOHYDRATES",""
"3132","B05BB02","ELECTROLYTES WITH CARBOHYDRATES",""
"3133","B05BB02","ELECTROLYTES WITH CARBOHYDRATES",""
"3133","B05BB02","ELECTROLYTES WITH CARBOHYDRATES",""
"3141","N06AA09","AMITRIPTYLINE",""
"3156","N03AG01","VALPROIC ACID",""
"3178","N05BA01","DIAZEPAM",""
"3186","S01ED01","TIMOLOL",""
"3192","N05AN01","LITHIUM",""
"3263","J01CA04","AMOXICILLIN",""
"3264","J01CA04","AMOXICILLIN",""
"3290","N05BA01","DIAZEPAM",""
